ticker;name;category;currency
ACQ-SPAC.ST;ACQ Bure AB (publ);stock;SEK
OEM-B.ST;OEM International AB (publ);stock;SEK
PRIC-B.ST;Pricer AB (publ);stock;SEK
FNM.ST;Ferronordic AB (publ);stock;SEK
MNTC.ST;Mentice AB (publ);stock;SEK
WBGR-B.ST;Wästbygg Gruppen AB (publ);stock;SEK
HUM.ST;Humana AB (publ);stock;SEK
XBRANE.ST;Xbrane Biopharma AB (publ);stock;SEK
CTM.ST;Catena Media plc;stock;SEK
FMM-B.ST;FM Mattsson Mora Group AB (publ);stock;SEK
CAT-A.ST;Catella AB (publ);stock;SEK
REJL-B.ST;Rejlers AB (publ);stock;SEK
CAT-B.ST;Catella AB (publ);stock;SEK
FOOT-B.ST;Footway Group AB (publ);stock;SEK
ELTEL.ST;Eltel AB (publ);stock;SEK
FOOT-PREF.ST;Footway Group AB (publ);stock;SEK
BUSER.ST;Bambuser AB (publ);stock;SEK
RUG.ST;Rugvista Group AB (publ);stock;SEK
EAST.ST;Eastnine AB (publ);stock;SEK
MCAP.ST;MedCap AB (publ);stock;SEK
HOFI.ST;Hoist Finance AB (publ);stock;SEK
CDON.ST;CDON AB;stock;SEK
AEC.ST;Africa Energy Corp.;stock;SEK
IRLAB-A.ST;IRLAB Therapeutics AB (publ);stock;SEK
MAG.ST;Magnolia Bostad AB (publ);stock;SEK
ELOS-B.ST;Elos Medtech AB (publ);stock;SEK
FNOVA-B.ST;Fortinova Fastigheter AB (Publ);stock;SEK
CTT.ST;CTT Systems AB (publ);stock;SEK
IDUN-B.ST;Idun Industrier AB (publ);stock;SEK
IMMNOV.ST;Immunovia AB (publ);stock;SEK
NPAPER.ST;Nordic Paper Holding AB (publ);stock;SEK
OVZON.ST;Ovzon AB (publ);stock;SEK
BINV.ST;BioInvent International AB (publ);stock;SEK
XSPRAY.ST;Xspray Pharma AB (publ);stock;SEK
BESQ.ST;Besqab AB (publ);stock;SEK
CI-B.ST;Cell Impact AB (publ);stock;SEK
BALCO.ST;Balco Group AB;stock;SEK
CANTA.ST;Cantargia AB (publ);stock;SEK
PIERCE.ST;Pierce Group AB (publ);stock;SEK
HLDX.ST;Haldex AB (publ);stock;SEK
EXS.ST;Exsitec Holding AB (publ);stock;SEK
RAY-B.ST;RaySearch Laboratories AB (publ);stock;SEK
CPAC-SPAC.ST;Creaspac AB (publ);stock;SEK
BRE2.ST;Bredband2 i Skandinavien AB (publ);stock;SEK
SFAST.ST;Stenhus Fastigheter i Norden AB (publ);stock;SEK
JOSE.ST;Josemaria Resources Inc.;stock;SEK
ZZ-B.ST;Zinzino AB (publ);stock;SEK
MINEST.ST;Minesto AB (publ);stock;SEK
CCC.ST;Cavotec SA;stock;SEK
DMYD-B.ST;Diamyd Medical AB (publ);stock;SEK
LUC.ST;Lucara Diamond Corp.;stock;SEK
ANNE-B.ST;Annehem Fastigheter AB;stock;SEK
CRAD-B.ST;C-Rad AB (publ);stock;SEK
SEMC.ST;Semcon AB (publ);stock;SEK
PACT.ST;Proact IT Group AB (publ);stock;SEK
PSCAND.ST;Permascand Top Holding AB (publ);stock;SEK
NILAR.ST;Nilar International AB;stock;SEK
AROS.ST;Aros Bostadsutveckling AB (publ);stock;SEK
AJA-B.ST;Byggmästare Anders J Ahlström Holding AB (publ);stock;SEK
GHP.ST;GHP Specialty Care AB (publ);stock;SEK
TRAIN-B.ST;Train Alliance Sweden AB (publ);stock;SEK
KABE-B.ST;KABE Group AB (publ.);stock;SEK
BULTEN.ST;Bulten AB (publ);stock;SEK
BELE.ST;Beijer Electronics Group AB (publ);stock;SEK
EWRK.ST;Ework Group AB (publ);stock;SEK
BRG-B.ST;Bergs Timber AB (publ);stock;SEK
STRLNG.ST;Swedish Stirling AB (publ);stock;SEK
SOLT.ST;SolTech Energy Sweden AB (publ);stock;SEK
STUDBO.ST;Studentbostäder i Norden AB (publ);stock;SEK
MILDEF.ST;MilDef Group AB (publ);stock;SEK
RROS.ST;Rottneros AB (publ);stock;SEK
MANG.ST;Mangold Fondkommission AB;stock;SEK
UPSALE.ST;Upsales Technology AB (publ);stock;SEK
FPIP.ST;Formpipe Software AB (publ);stock;SEK
TEQ.ST;Teqnion AB (publ);stock;SEK
GAPW-B.ST;Gapwaves AB (publ);stock;SEK
DURC-B.ST;Duroc AB (publ);stock;SEK
KOPY.ST;Kopy Goldfields AB (publ);stock;SEK
CHECK.ST;Checkin.Com Group AB (Publ);stock;SEK
TETY.ST;Tethys Oil AB (publ);stock;SEK
GIGSEK.ST;Gaming Innovation Group Inc.;stock;SEK
ARCANE.ST;Arcane Crypto AB;stock;SEK
ARISE.ST;Arise AB (publ);stock;SEK
AMAST-PREF.ST;Amasten Fastighets AB (publ);stock;SEK
IAR-B.ST;IAR Systems Group AB (publ);stock;SEK
VICO.ST;Vicore Pharma Holding AB (publ);stock;SEK
ENZY.ST;Enzymatica AB;stock;SEK
SLEEP.ST;Sleep Cycle AB (publ);stock;SEK
ISOFOL.ST;Isofol Medical AB (publ);stock;SEK
FASTAT.ST;Aktiebolaget Fastator (publ);stock;SEK
MAHA-A.ST;Maha Energy AB (publ);stock;SEK
AWRD.ST;Awardit AB (publ);stock;SEK
ACCON.ST;Acconeer AB (publ);stock;SEK
DORO.ST;Doro AB (publ);stock;SEK
SRNKE-B.ST;Serneke Group AB (publ);stock;SEK
BOAT.ST;Nimbus Group AB (Publ);stock;SEK
DIST.ST;DistIT AB (publ);stock;SEK
ODD.ST;Odd Molly International AB (publ);stock;SEK
EXPRS2.ST;ExpreS2ion Biotech Holding AB (publ);stock;SEK
SEZI.ST;Senzime AB (publ);stock;SEK
BIOVIC-B.ST;Biovica International AB (publ);stock;SEK
READ.ST;Readly International AB (publ);stock;SEK
COPP-B.ST;Copperstone Resources AB;stock;SEK
IRIS.ST;Irisity AB (publ);stock;SEK
SOF-B.ST;Softronic AB;stock;SEK
JETPAK.ST;Jetpak Top Holding AB (publ);stock;SEK
NETI-B.ST;Net Insight AB (publ);stock;SEK
FLUO.ST;FluoGuide A/S;stock;SEK
TORSAB.ST;Torslanda Property Investment AB (publ);stock;SEK
PIEZO.ST;PiezoMotor Uppsala AB (publ);stock;SEK
GREAT.ST;Greater Than AB;stock;SEK
INTEG-B.ST;Integrum AB (publ);stock;SEK
PREV-B.ST;Prevas AB;stock;SEK
SVED-B.ST;Svedbergs i Dalstorp AB (publ);stock;SEK
OASM.ST;Oasmia Pharmaceutical AB (publ);stock;SEK
ORX.ST;Orexo AB (publ);stock;SEK
ARP.ST;Arctic Paper S.A.;stock;SEK
TRANS.ST;Transtema Group AB;stock;SEK
OP.ST;Oscar Properties Holding AB (publ);stock;SEK
ATA-SDB.ST;Atari SA;stock;SEK
BOUL.ST;Boule Diagnostics AB (publ);stock;SEK
ATVEXA-B.ST;Atvexa AB (publ);stock;SEK
DOXA.ST;Doxa AB (publ);stock;SEK
SES.ST;Scandinavian Enviro Systems AB (publ);stock;SEK
NEXAM.ST;Nexam Chemical Holding AB (publ);stock;SEK
BYGGP.ST;ByggPartner i Dalarna Holding AB (publ);stock;SEK
NHCBHFFS.ST;Baltic Horizon Fund;stock;SEK
POLYG.ST;Polygiene AB (publ.);stock;SEK
ARPL.ST;Arla Plast AB;stock;SEK
PTRK.ST;Physitrack PLC;stock;SEK
HANZA.ST;Hanza Holding AB (publ);stock;SEK
ZORDIX-B.ST;Zordix AB (publ);stock;SEK
BEGR.ST;BE Group AB (publ);stock;SEK
TBD30-SPAC-A.ST;tbd30 AB (publ);stock;SEK
GENI.ST;Generic Sweden AB;stock;SEK
SANION.ST;Saniona AB (publ);stock;SEK
SINT.ST;SinterCast AB (publ);stock;SEK
MAXF.ST;MaxFastigheter i Sverige AB (publ);stock;SEK
STAR-B.ST;Starbreeze AB (publ);stock;SEK
STAR-A.ST;Starbreeze AB (publ);stock;SEK
EMBELL.ST;Embellence Group AB (publ);stock;SEK
SENS.ST;Sensys Gatso Group AB (publ);stock;SEK
QAIR.ST;QleanAir AB;stock;SEK
SNM.ST;ShaMaran Petroleum Corp.;stock;SEK
APAC-SPAC-A.ST;Aligro Planet Acquisition Company AB (publ);stock;SEK
BORG.ST;Björn Borg AB (publ);stock;SEK
ALCA.ST;Alcadon Group AB (publ);stock;SEK
BIM.ST;BIMobject AB;stock;SEK
FRACTL.ST;Fractal Gaming Group AB (publ);stock;SEK
BIOGAS.ST;Scandinavian Biogas Fuels International AB (publ);stock;SEK
PROF-B.ST;ProfilGruppen AB (publ);stock;SEK
MSAB-B.ST;Micro Systemation AB (publ);stock;SEK
DEDI.ST;Dedicare AB (publ);stock;SEK
SPEC.ST;SpectraCure AB (publ);stock;SEK
PAX.ST;Paxman AB (publ);stock;SEK
ACE.ST;Ascelia Pharma AB (publ);stock;SEK
ORGC.ST;OrganoClick AB (publ);stock;SEK
EGTX.ST;Egetis Therapeutics AB (publ);stock;SEK
GOMX.ST;GomSpace Group AB (publ);stock;SEK
FERRO.ST;Ferroamp Elektronik AB (publ);stock;SEK
HEXI.ST;Hexicon AB (publ);stock;SEK
SCOUT.ST;Scout Gaming Group AB (publ);stock;SEK
IBT-B.ST;Infant Bacterial Therapeutics AB (publ);stock;SEK
CLIME-B.ST;Climeon AB (publ);stock;SEK
ZWIPE.ST;Zwipe AS;stock;SEK
KDEV.ST;Karolinska Development AB (publ);stock;SEK
URBIT.ST;Urb-it AB (publ);stock;SEK
IMMU.ST;Immunicum AB (publ);stock;SEK
FLEXM.ST;Flexion Mobile Plc;stock;SEK
STWK.ST;Stockwik Förvaltning AB (publ);stock;SEK
INDEX.ST;InDex Pharmaceuticals Holding AB (publ);stock;SEK
MAGI.ST;MAG Interactive AB (publ);stock;SEK
MAVEN.ST;Maven Wireless Sweden AB (Publ);stock;SEK
CNCJO-B.ST;Concejo AB (publ);stock;SEK
IMPC.ST;Impact Coatings AB (publ);stock;SEK
NTEK-B.ST;Novotek AB;stock;SEK
RAKE.ST;Raketech Group Holding PLC;stock;SEK
NIL-B.ST;Nilörngruppen AB;stock;SEK
CFISH.ST;Crunchfish AB (publ);stock;SEK
INFREA.ST;Infrea AB;stock;SEK
MIDS.ST;Midsummer AB (publ);stock;SEK
ECC-B.ST;Ecoclime Group AB (publ);stock;SEK
MOBA.ST;M.O.B.A. Network AB (publ);stock;SEK
ZETA.ST;ZetaDisplay AB (publ);stock;SEK
ICO.ST;Iconovo AB (publ);stock;SEK
SIGN-B.ST;Signatur Fastigheter AB (publ);stock;SEK
OPTI.ST;OptiCept Technologies AB (publ);stock;SEK
ZIGN.ST;ZignSec AB (publ);stock;SEK
EPIS-B.ST;Episurf Medical AB (publ);stock;SEK
CE.ST;Cortus Energy AB (publ);stock;SEK
STIL.ST;Stille AB;stock;SEK
ISR.ST;ISR Immune System Regulation Holding AB (publ);stock;SEK
LINKFI.ST;Linkfire A/S;stock;SEK
SVIK.ST;Studsvik AB (publ);stock;SEK
FREEM.ST;Freemelt Holding AB (publ);stock;SEK
FLEXQ.ST;FlexQube AB (publ);stock;SEK
KAPIAB.ST;Kallebäck Property Invest AB (publ);stock;SEK
ADVE.ST;Advenica AB (publ);stock;SEK
ALLR.ST;Allarity Therapeutics A/S;stock;SEK
24STOR.ST;24Storage AB (publ);stock;SEK
LMKG.ST;LMK Group AB (publ);stock;SEK
NEPA.ST;Nepa AB (publ);stock;SEK
NAXS.ST;NAXS AB (publ);stock;SEK
BTCX.ST;Goobit Group AB (publ);stock;SEK
ACRI-B.ST;Acrinova AB (publ);stock;SEK
ACRI-A.ST;Acrinova AB (publ);stock;SEK
MIDW-B.ST;Midway Holding AB (publ);stock;SEK
